Name,Effect
Grit Dust,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 0-2."
Grit Gravel,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 3-5."
Grit Pebble,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 6-8."
Grit Rock,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 8-9."
Ground Gem,Increases the power of a Ground-type move only once.
Ground Memory,Changes Silvally and its move Multi-Attack to Ground type.
Ground Tera Shard,Changes a Pokémon's Tera Type to Ground.
Groundium Z,"Allows the use of Tectonic Rage, the Ground type Z-Move."
Growlithe Fur,"Material obtained after defeating/catching Growlithe, used in TM crafting."
Growth Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Grubby Hanky,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.
Guard Spec.,Prevents stat reduction for five turns.
Gulpin Mucus,"Material obtained after defeating/catching Gulpin, used in TM crafting."
Gyaradosite,Enables Gyarados to Mega Evolve during battle.
Haban Berry,Weakens a supereffective Dragon-type attack against the holding Pokémon.
Ham,A very salty ingredient—and that very saltiness is what makes it such a nice companion to veggies.
Hamburger,This very salty ingredient is the thing to add if you want to make your sandwich truly filling.
Happiny Dust,"Material obtained after defeating/catching Happiny, used in TM crafting."
Hard Stone,Increases the power of Rock-type moves.
Hasty Mint,Changes the Pokémon's stats to match the Hasty nature.
Hatenna Dust,"Material obtained after defeating/catching Hatenna, used in TM crafting."
Hawlucha Down,"Material obtained after defeating/catching Hawlucha, used in TM crafting."
Heal Ball,Catches wild Pokémon and fully heals them.
Heal Powder,"Heals all status problems, but lowers Friendship."
Health Candy,Increases a Pokémon's HP stat by 1.
Health Candy L,Increases a Pokémon's HP stat.
Health Candy XL,Increases a Pokémon's HP stat.
Health Feather,Increases HP EVs by 1.
Health Mochi,Increases HP EVs.
Heart Scale,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow."
Hearty Grains,
Heat Rock,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.
Heavy Ball,A Poké Ball for catching very heavy Pokémon.
Heavy-Duty Boots,Protects the holder from traps set on the battlefield.
Helix Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.
Heracronite,Enables Heracross to Mega Evolve during battle.
Heracross Claw,"Material obtained after defeating/catching Heracross, used in TM crafting."
Herbed Sausage,A very salty and bitter ingredient. The balance between the potent saltiness and the herbs’ bitterness make this sausage a pleasure.
Heroic Sword Pick,"A pick made to be the coolest. Once you’ve eaten, you can pretend you’re a hero of legend. Souvenir shops at tourist spots sell these for some reason."
Hi-tech Earbuds,Strange earbuds that allow you to freely control the volume of various sounds.
Hippopotas Sand,"Material obtained after defeating/catching Hippopotas, used in TM crafting."
HM01,Teaches the move Cut.
HM02,Teaches the move Fly.
HM03,Teaches the move Surf.
HM04,Teaches the move Strength.
HM05,Teaches the move Flash/Defog/Whirlpool/Waterfall.
HM06,Teaches the move Whirlpool/Rock Smash/Dive.
HM07,Teaches the move Waterfall.
HM08,Teaches the move Dive/Rock Climb.
Hometown Muffin,
Hondew Berry,Increases Friendship but lowers Special Attack EVs.
Honey,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees."
Honey Cake,
Honor Of Kalos,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.
Hopo Berry,"A Berry that can be fed to a Pokémon to restore its PP. If a wild Pokémon eats one of these Berries, that Pokémon’s reactions will be dulled."
Hoppip Leaf,"Material obtained after defeating/catching Hoppip, used in TM crafting."
Horseradish,A very spicy condiment. Its distinctive sharp sizzle in your sinuses makes it a good match for rich fillings.
Houndoominite,Enables Houndoom to Mega Evolve during battle.
Houndour Fang,"Material obtained after defeating/catching Houndour, used in TM crafting."
HP Up,Increases HP EVs by 10.
Hyper Potion,Restores 120 HP.
Iapapa Berry,"Restores HP if it's low, but may cause confusion."
Ice Gem,Increases the power of an Ice-type move only once.
Ice Heal,Cures a Pokémon of freezing.
Ice Memory,Changes Silvally and its move Multi-Attack to Ice type.
Ice Stone,Evolves certain species of Pokémon.
Ice Tera Shard,Changes a Pokémon's Tera Type to Ice.
Iceroot Carrot,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.
Icicle Plate,Increases power of Ice-type moves. Changes Arceus' type to Ice.
Icium Z,"Allows the use of Subzero Slammer, the Ice type Z-Move."
Icy Rock,A Pokémon held item that extends the duration of the move Hail used by the holder.
Igglybuff Fluff,"Material obtained after defeating/catching Igglybuff, used in TM crafting."
Impidimp Hair,"Material obtained after defeating/catching Impidimp, used in TM crafting."
Impish Mint,Changes the Pokémon's stats to match the Impish nature.
Incinium Z,"Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault."
Indeedee Fur,"Material obtained after defeating/catching Indeedee, used in TM crafting."
Insect Plate,Increases power of Bug-type moves. Changes Arceus' type to Bug.
Instant Noodles,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry."
Intriguing Stone,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.
Iron,Increases Defense EVs by 10.
Iron Ball,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.
Iron Barktongue,
Iron Chunk,
Iron Plate,Increases power of Steel-type moves. Changes Arceus' type to Steel.
Item Drop,"When used, it causes an ally Pokémon to drop a held item."
Item Urge,"When used, it causes an ally Pokémon to use its held item."
Jaboca Berry,"If held by a Pokémon and a physical attack lands, the attacker also takes damage."
Jalapeño,A very spicy ingredient—so spicy as to leave no room for ambivalence about it. You either like it or you don’t.
Jam,"A condiment that’s very sweet and likewise very sour. Take care when adding it to sandwiches, as the sweet side can overwhelm."
Jet Ball,
Johto Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Johto Room at Ramanas Park.
Jolly Mint,Changes the Pokémon's stats to match the Jolly nature.
Jubilife Muffin,
Kangaskhanite,Enables Kangaskhan to Mega Evolve during battle.
Kanto Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Kanto Room at Ramanas Park.
Kasib Berry,Weakens a supereffective Ghost-type attack against the holding Pokémon.
Kebia Berry,Weakens a supereffective Poison-type attack against the holding Pokémon.
Kee Berry,"If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move."
Kelpsy Berry,Increases Friendship but lowers Attack EVs.
Ketchup,"A condiment with very salty and tart flavor. While a number of other ingredients go into its signature flavor, the noble tomato is its heart and soul."
King's Leaf,
King's Rock,May cause opponent to flinch. Evolves Poliwhirl and Slowpoke when traded holding the item.
Kiwi,A very tart ingredient that has a light touch of sweetness as well. It goes well with rich ingredients.
Klawf Claw,"Material obtained after defeating/catching Klawf, used in TM crafting."
Klawf Stick,A very sweet and salty ingredient. It’s a nutritious processed food made with a concentrate derived from shed Klawf shells.
Klefki Key,"Material obtained after defeating/catching Klefki, used in TM crafting."
Kofu's Wallet,"A wallet that was left behind by Kofu, the Gym Leader at the Cascarrafa Gym. You’re to deliver it to him at the market in Porto Marinada."
Komala Claw,"Material obtained after defeating/catching Komala, used in TM crafting."
Kommonium Z,"Allows Kommo-o to upgrade Clanging Scales to a Z-Move, Clangorous Soulblaze."
Koraidon's Poké Ball,A Poké Ball that can hold the mysterious Pokémon known as Koraidon. A boy named Arven gave it to you.
Kricketot Shell,"Material obtained after defeating/catching Kricketot, used in TM crafting."
Lagging Tail,Holder always attacks last.
Lansat Berry,Increases critical-hit ratio when HP is low.
Large Leek,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.
Larvesta Fuzz,"Material obtained after defeating/catching Larvesta, used in TM crafting."
Larvitar Claw,"Material obtained after defeating/catching Larvitar, used in TM crafting."
Latiasite,Enables Latias to Mega Evolve during battle.
Latiosite,Enables Latios to Mega Evolve during battle.
Lava Cookie,Heals all major status conditions.
Lax Incense,Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.
Lax Mint,Changes the Pokémon's stats to match the Lax nature.
Leaden Ball,
Leader's Crest,A shard of what appears to be an old blade of some sort. It is held only by Bisharp that head up a group of Pawniard.
Leaf Letter,A letter written on a leaf. Something is written using Eevee's footprints.
Leaf Stone,Evolves certain species of Pokémon.
Leafy Tablecloth,A botanically themed tablecloth featuring Grass-type Pokémon. Can you find the Pokémon that doesn’t quite fit in?
Lechonk Hair,"Material obtained after defeating/catching Lechonk, used in TM crafting."
Leek,Increases critical-hit ratio when held by Farfetch'd.
Leftovers,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.
Legend Plate,
Lemonade,Restores 70 HP.
Leppa Berry,"If held by a Pokémon, it restores a move's PP by 10."
Lettuce,This bitter-tasting ingredient is simple and straightforward—just add it to all kinds of other ingredients for a delightfully crunchy time.
Level Ball,A Poké Ball for catching Pokémon that are a lower level than your own.
Liechi Berry,Raises Attack when HP is low.
Life Orb,"Increases the power of moves, but loses HP each turn."
Light Ball,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.
Light Clay,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.
Lilac Tablecloth,"A light purple tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
Linking Cord,A string exuding a mysterious energy that makes you feel a strange sense of connection. It’s loved by certain Pokémon.
Litleo Tuft,"Material obtained after defeating/catching Litleo, used in TM crafting."
Loaded Dice,Makes multi-strike moves more likely to hit more times.
Lone Earring,
Lonely Mint,Changes the Pokémon's stats to match the Lonely nature.
Looker Ticket,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.
Lopunnite,Enables Lopunny to Mega Evolve during battle.
Lost Satchel,
Love Ball,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.
Love Sweet,Evolves Milcery into Heart Flavor Alcremie.
Lucarionite,Enables Lucario to Mega Evolve during battle.
Luck Incense,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.
Lucky Egg,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.
Lucky Punch,Increases critical-hit ratio when held by Chansey.
Lum Berry,"If held by a Pokémon, it recovers from any status problem."
Luminous Moss,Raises Special Defense if hit by a Water-type move.
Lumiose Galette,Heals all major status conditions.
Lunalium Z,"Allows Lunala to upgrade Moongeist Beam to a Z-Move, Menacing Moonraze Maelstrom."
Lure,Attracts Pokémon in the wild.
Lure Ball,A Poké Ball for catching Pokémon hooked by a Rod when fishing.
Lustrous Globe,
Lustrous Orb,Increases the power of Dragon- and Water-type moves when held by Palkia.
Luvdisc Scales,"Material obtained after defeating/catching Luvdisc, used in TM crafting."
Luxury Ball,Catches wild Pokémon and increases their friendship more quickly.
Lycanium Z,"Allows Lycanroc to upgrade Stone Edge to a Z-Move, Splintered Stormshards."
Macho Brace,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.
Magical Heart Pick,A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.
Magical Star Pick,A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.
Magikarp Scales,"Material obtained after defeating/catching Magikarp, used in TM crafting."
Magmarizer,Evolves Magmar when traded holding the item.
Magnemite Screw,"Material obtained after defeating/catching Magnemite, used in TM crafting."
Magnet,Increases the power of Electric-type moves.
Mago Berry,"Restores HP if it's low, but may cause confusion."
Magost Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Makuhita Sweat,"Material obtained after defeating/catching Makuhita, used in TM crafting."
Malicious Armor,Evolves Charcadet into Ceruledge.
Manectite,Enables Manectric to Mega Evolve during battle.
Mankey Fur,"Material obtained after defeating/catching Mankey, used in TM crafting."
Maranga Berry,"If held by a Pokémon, this Berry will increase the holder's Sp. Def if it's hit with a special move."
Marble,
Mareanie Spike,"Material obtained after defeating/catching Mareanie, used in TM crafting."
Mareep Wool,"Material obtained after defeating/catching Mareep, used in TM crafting."
Marill Ball,A Marill-themed ball. It’s soft and springy. Make sure you haven’t mistaken a real Marill for this ball before throwing.
Marmalade,"A condiment with sour and bitter notes. It’s surprisingly useful, as it makes a nice counterpoint to oilier foods."
Marsh Balm,
Marshadium Z,"Allows Marshadow to upgrade Spectral Thief to a Z-Move, Soul-Stealing 7-Star Strike."
Maschiff Fang,"Material obtained after defeating/catching Maschiff, used in TM crafting."
Master Ball,Catches any wild Pokémon without fail.
Masterpiece Teacup,Evolves Poltchageist (Masterpiece) into Sinistcha (Masterpiece).
Mawilite,Enables Mawile to Mega Evolve during battle.
Max Elixir,Fully restores PP to all moves of a Pokémon.
Max Ether,Fully restores PP to one move of a Pokémon.
Max Honey,
Max Lure,Attracts Pokémon in the wild.
Max Mushrooms,
Max Potion,Fully restores HP.
Max Repel,An item that prevents weak wild Pokémon from appearing for 250 steps after its use.
Max Revive,"Revives a fainted Pokémon, fully restoring its HP."
Mayonnaise,A condiment that packs a very tart punch yet pairs well with various ingredients.
Meadow Plate,Increases power of Grass-type moves. Changes Arceus' type to Grass.
Medichamite,Enables Medicham to Mega Evolve during battle.
Medicinal Leek,
Meditite Sweat,"Material obtained after defeating/catching Meditite, used in TM crafting."
Mental Herb,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.
Meowth Fur,"Material obtained after defeating/catching Meowth, used in TM crafting."
Metagrossite,Enables Metagross to Mega Evolve during battle.
Metal Alloy,Evolves Duraludon into Archaludon.
Metal Coat,Increases the power of Steel-type moves. Evolves Onix and Scyther when traded holding the item.
Metal Powder,Increases Defense when held by Ditto.
Metronome,Increases the power of moves used consecutively.
Mewnium Z,"Allows Mew to upgrade Psychic to a Z-Move, Genesis Supernova."
Mewtwonite X,Enables Mewtwo to Mega Evolve during battle.
Mewtwonite Y,Enables Mewtwo to Mega Evolve during battle.
Micle Berry,Increases a move's accuracy when HP is low.
Mighty Candy,Increases a Pokémon's Attack stat by 1.
Mighty Candy L,Increases a Pokémon's Attack stat.
Mighty Candy XL,Increases a Pokémon's Attack stat.
Mild Mint,Changes the Pokémon's stats to match the Mild nature.
Mimikium Z,"Allows Mimikyu to upgrade Play Rough to a Z-Move, Let's Snuggle Forever."
Mimikyu Scrap,"Material obtained after defeating/catching Mimikyu, used in TM crafting."
Mind Plate,Increases power of Psychic-type moves. Changes Arceus' type to Psychic.
Mint Tablecloth,"A light mint-colored tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
Miracle Seed,Increases the power of Grass-type moves.
Miraidon's Poké Ball,A Poké Ball that can hold the mysterious Pokémon known as Miraidon. A boy named Arven gave it to you.
Mirror Herb,Copies an opponent's stat increases when consumed.
Misdreavus Tears,"Material obtained after defeating/catching Misdreavus, used in TM crafting."
Misty Seed,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.
Mixed Mushrooms,One of the many ingredients that can be used for cooking at your camp. The chewy texture of the mushrooms transforms any dish they’re added to.
Modest Mint,Changes the Pokémon's stats to match the Modest nature.
Monstrous Tablecloth,A tablecloth designed by the Pewter Museum of Science. The academic air of the pattern is a big hit with kids and adults alike.
Moomoo Cheese,One of the many ingredients that can be used for cooking at your camp. Melted cheese can really give a curry some richness.
Moomoo Milk,Restores 100 HP.
Moon Ball,A Poké Ball for catching Pokémon that evolve using the Moon Stone.
Moon Stone,Evolves certain species of Pokémon.
Mudbray Mud,"Material obtained after defeating/catching Mudbray, used in TM crafting."
Murkrow Bauble,"Material obtained after defeating/catching Murkrow, used in TM crafting."
Muscle Band,Increases the power of Physical-category moves.
Muscle Feather,Increases Attack EVs by 1.
Muscle Mochi,Increases Attack EVs.
Mushroom Cake,
Mustard,A very spicy condiment that’s indispensable when bread is on the table. It pairs tremendously with ketchup.
Mysterious Shard L,"A large shard that emanates an enigmatic power. Inside the shard, you can see a pattern that looks like Ramanas roses."
Mysterious Shard S,"A small shard that emanates an enigmatic power. Inside the shard, you can see a pattern that looks like Ramanas roses."
Mystic Water,Increases the power of Water-type moves.
Nacli Salt,"Material obtained after defeating/catching Nacli, used in TM crafting."
Naive Mint,Changes the Pokémon's stats to match the Naive nature.
Nanab Berry,"A Berry to be used in cooking. Calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
Naughty Mint,Changes the Pokémon's stats to match the Naughty nature.
Nest Ball,Catches lower level wild Pokémon with a higher rate (up to 4x for level 1).
Net Ball,Catches Water- and Bug-type Pokémon with 3.5x the rate of a standard Poké Ball.
Never-Melt Ice,Increases the power of Ice-type moves.
Noibat Fur,"Material obtained after defeating/catching Noibat, used in TM crafting."
Nomel Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Noodles,A nice salty ingredient. It’s unclear how well these boiled noodles will serve as a sandwich filling.
Normal Gem,Increases the power of a Normal-type move only once.
Normal Tera Shard,Changes a Pokémon's Tera Type to Normal.
Normalium Z,"Allows the use of Breakneck Blitz, the Normal type Z-Move."
Nugget,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.
Numel Lava,"Material obtained after defeating/catching Numel, used in TM crafting."
Nymble Claw,"Material obtained after defeating/catching Nymble, used in TM crafting."
Occa Berry,Weakens a supereffective Fire-type attack against the holding Pokémon.
Oceanic Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Oceanic Room at Ramanas Park.
Odd Incense,Increases the power of Psychic-type moves. Breeding Mr. Mime produces Mime Jr. when held.
Odd Keystone,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.
Old Amber,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.
Old Gateau,Heals all major status conditions.
Olive Oil,A condiment offering faint notes of sour and bitter flavors. The most prized varieties are the ones Smoliv love the smell of—such oils’ quality is assured.
Onion,This spicy veggie is indispensable to many sandwiches. It goes well with rich ingredients.
Oran Berry,"If held by a Pokémon, it heals the user by just 10 HP."
Orange Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The orange variety is the most popular of all.
Oranguru Fur,"Material obtained after defeating/catching Oranguru, used in TM crafting."
Oricorio Feather,"Material obtained after defeating/catching Oricorio, used in TM crafting."
Origin Ball,
Origin Ore,
Orthworm Tarnish,"Material obtained after defeating/catching Orthworm, used in TM crafting."
Oval Charm,An oval charm said to increase the chance of Pokémon Eggs being found at the Day Care.
Oval Stone,Evolves Happiny when held.
Pachirisu Fur,"Material obtained after defeating/catching Pachirisu, used in TM crafting."
Pack of Potatoes,"One of the many ingredients that can be used for cooking at your camp. Potatoes help mellow out a spicy taste, to make a dish more mild."
Packaged Curry,One of the many ingredients that can be used for cooking at your camp. Using packaged curry helps make sure there are no slipups when cooking.
Pamtre Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Paralyze Heal,Cures a Pokémon of paralysis.
Parasol Pick,"Some complain that the parasol part of this pick is hard to hold on to, so your fingers get messy. Still, it’s fun to twirl this all around after you’ve eaten."
Park Ball,A special Poké Ball for the Pal Park.
Party Sparkler Pick,This pick features a small sparkler that goes off automatically. It’s used at parties or for guests of honor. It leaves an oddly appealing aroma once it’s burned out.
Pass Orb,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power."
Passho Berry,Weakens a supereffective Water-type attack against the holding Pokémon.
Passimian Fur,"Material obtained after defeating/catching Passimian, used in TM crafting."
Pasta,One of the many ingredients that can be used for cooking at your camp. These flour noodles make for a surprisingly good match with curry.
Pawmi Fur,"Material obtained after defeating/catching Pawmi, used in TM crafting."
Pawniard Blade,"Material obtained after defeating/catching Pawniard, used in TM crafting."
Payapa Berry,Weakens a supereffective Psychic-type attack against the holding Pokémon.
Peach Tablecloth,"A light peach-colored tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
Peanut Butter,A very sweet condiment. People in Paldea seem to favor the sweet varieties over the unsweetened.
Pearl,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.
Pearl String,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.
Peat Block,A block of muddy material that can be used as fuel for burning when it is dried. It’s loved by a certain Pokémon.
Pecha Berry,"If held by a Pokémon, it recovers from poison."
Pep-Up Plant,
Pepper,A seasoning packing very spicy flavor. It goes nicely with oilier foods and works especially well when you add just a pinch for a hint of flavor.
Permit,A permit that is needed to enter the Nature Preserve. Not many know about it.
Persim Berry,"If held by a Pokémon, it recovers from confusion."
Petaya Berry,Raises Special Attack when HP is low.
Petilil Leaf,"Material obtained after defeating/catching Petilil, used in TM crafting."
Pewter Crunchies,Heals all major status conditions.
Phanpy Nail,"Material obtained after defeating/catching Phanpy, used in TM crafting."
Pichu Fur,"Material obtained after defeating/catching Pichu, used in TM crafting."
Pickle,This very sour ingredient is made by pickling veggies in a flavorful brine made from spices and vinegar.
Picnic Set,A roomy basket packed with all sorts of things for use when enjoying picnicking with your Pokémon.
Pidgeotite,Enables Pidgeot to Mega Evolve during battle.
Pika-Pika Pick,"A Pick-achu, as it were, sporting Pikachu’s usual expression. It’s easy to grab by the ears, which is part of why it’s so popular."
Pikachu Cup,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents."
Pikanium Z,"Allows Pikachu to upgrade Volt Tackle to a Z-Move, Catastropika."
Pikashunium Z,"Allows Pikachu in a cap to upgrade Thunderbolt to a Z-Move, 10,000,000 Volt Thunderbolt."
Pinap Berry,"A Berry to be used in cooking. Increases chances of getting items when a Pokémon is caught, in Pokémon Let's Go."
Pincurchin Spines,"Material obtained after defeating/catching Pincurchin, used in TM crafting."
Pineapple,"This very tart ingredient is a fruit of southern lands, and its color and texture are a thrill. It’s been cut into chunks to be easily manageable."
Pineco Husk,"Material obtained after defeating/catching Pineco, used in TM crafting."
Pink Apricorn,"A pink Apricorn. It has a nice, sweet scent."
Pink Bottle,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.
Pink Cup,"A cup sold with the Pink Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos."
Pink Nectar,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.
Pink Scarf,Raises holder's Cute aspect in a Contest.
Pink Tablecloth,"A simple pink tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
Pinsirite,Enables Pinsir to Mega Evolve during battle.
Pixie Plate,Increases power of Fairy-type moves. Changes Arceus' type to Fairy.
Plaid Tablecloth (B),A sturdy tablecloth made of thick fabric. The gentle blue plaid gives a table a crisp look.
Plaid Tablecloth (R),A sturdy tablecloth made of thick fabric. The quietly composed red plaid gives the table some flair.
Plaid Tablecloth (Y),A sturdy tablecloth made of thick fabric. The cheery yellow plaid brightens up a table.
Plasma Card,A card key needed to enter the password inside the Plasma Frigate.
Plume Fossil,A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.
Plump Beans,
Poison Barb,Increases the power of Poison-type moves.
Poison Gem,Increases the power of a Poison-type move only once.
Poison Memory,Changes Silvally and its move Multi-Attack to Poison type.
Poison Tera Shard,Changes a Pokémon's Tera Type to Poison.
Poisonium Z,"Allows the use of Acid Downpour, the Poison type Z-Move."
Poké Ball,Catches wild Pokémon.
Poké Doll,A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
Poké Toy,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
Polished Mud Ball,
Polka-Dot Bottle,"A polka-dot-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with."
Polka-Dot Cup,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around."
Polka-Dot Tablecloth,"A tablecloth with a fashionable polka-dot pattern. It’s great at repelling water and mold, and stains and smudges wipe right off."
Pomeg Berry,Increases Friendship but lowers HP EVs.
Pop Pod,
Potato Salad,This very tart ingredient—a soft salad that’s all about potatoes—pairs tremendously well with bread.
Potato Tortilla,A very salty ingredient and a popular dish in Paldea. It’s undeniably filling.
Potion,Restores 20 HP.
Power Anklet,"A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat."
Power Band,"A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat."
Power Belt,"A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat."
Power Bracer,"A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat."
Power Herb,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.
Power Lens,"A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat."
Power Plant Pass,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.
Power Weight,"A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat."
PP Max,Raises the maximum PP of a move to its maximum.
PP Up,Raises the maximum PP of a move.
Precooked Burger,"One of the many ingredients that can be used for cooking at your camp. If you’re unsure about what to cook, you can’t go wrong with some burger."
Premier Ball,Catches wild Pokémon; received after buying 10 Poké Balls.
Pretty Feather,Can be sold for a high price.
Primarium Z,"Allows Primarina to upgrade Sparkling Aria to a Z-Move, Oceanic Operetta."
Prism Scale,Evolves Feebas when traded holding the item.
Prison Bottle,Transforms Hoopa Confined to Hoopa Unbound.
Prof's Letter,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.
Prosciutto,"This ingredient is very salty like regular ham, but the difference is prosciutto is not cooked after it is cured, giving it a fun freshness."
Protective Pads,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.
Protector,Evolves Rhydon when traded holding the item.
Protein,Increases Attack EVs by 10.
Psychic Gem,Increases the power of a Psychic-type move only once.
Psychic Memory,Changes Silvally and its move Multi-Attack to Psychic type.
Psychic Seed,An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.
Psychic Tera Shard,Changes a Pokémon's Tera Type to Psychic.
Psychium Z,"Allows the use of Shattered Psyche, the Psychic type Z-Move."
Psyduck Down,"Material obtained after defeating/catching Psyduck, used in TM crafting."
Punching Glove,An item to be held by a Pokémon. This protective glove boosts the power of the holder’s punching moves and prevents direct contact with targets.
Pungent Root,"One of the many ingredients that can be used for cooking at your camp. Though carelessly picked, these herbs can add a fragrant accent to a dish."
Pure Incense,Descreases the likelihood of meeting wild Pokémon. Breeding Chimecho produces Chingling when held.
Purple Nectar,A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.
Qualot Berry,Increases Friendship but lowers Defense EVs.
Quick Ball,Catches wild Pokémon with a higher rate (5x) on the first turn of a battle.
Quick Candy,Increases a Pokémon's Speed stat by 1.
Quick Candy L,Increases a Pokémon's Speed stat.
Quick Candy XL,Increases a Pokémon's Speed stat.
Quick Claw,"An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally."
Quick Powder,Increases Speed when held by Ditto.
Quiet Mint,Changes the Pokémon's stats to match the Quiet nature.
Qwilfish Spines,"Material obtained after defeating/catching Qwilfish, used in TM crafting."
Rabuta Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Rage Candy Bar,Heals all major status conditions.
Rainbow Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Rainbow Room at Ramanas Park.
Ralts Dust,"Material obtained after defeating/catching Ralts, used in TM crafting."
Rare Bone,A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.
Rare Candy,Raises a Pokémon's level by 1.
Rash Mint,Changes the Pokémon's stats to match the Rash nature.
Rawst Berry,"If held by a Pokémon, it recovers from a burn."
Razor Claw,Increases critical-hit ratio. Evolves Sneasel when held at night.
Razor Fang,May cause opponent to flinch. Evolves Gligar when held at night.
Razz Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Reaper Cloth,Evolves Dusclops when traded holding the item.
Red Apricorn,A red Apricorn. It assails your nostrils.
